ts,open,high,low,close,volume,time
1735689600000,189.32,190.51,189.09,190.5,15407.166,2025-01-01 00:00:00+00:00
1735690500000,190.5,191.32,190.35,190.7,13766.725,2025-01-01 00:15:00+00:00
1735691400000,190.7,191.54,190.63,191.28,7484.106,2025-01-01 00:30:00+00:00
1735692300000,191.28,192.65,191.15,192.5,10728.765,2025-01-01 00:45:00+00:00
1735693200000,192.5,192.62,191.45,191.67,13723.396,2025-01-01 01:00:00+00:00
1735694100000,191.67,191.67,190.69,191.16,6746.344,2025-01-01 01:15:00+00:00
1735695000000,191.16,191.63,190.97,191.22,4191.245,2025-01-01 01:30:00+00:00
1735695900000,191.22,191.24,190.34,190.7,8360.897,2025-01-01 01:45:00+00:00
1735696800000,190.7,191.23,190.58,191.22,5693.164,2025-01-01 02:00:00+00:00
1735697700000,191.22,191.22,190.41,190.62,3957.795,2025-01-01 02:15:00+00:00
1735698600000,190.62,191.35,190.56,191.31,4347.932,2025-01-01 02:30:00+00:00
1735699500000,191.31,192.06,191.15,191.6,9046.579,2025-01-01 02:45:00+00:00
1735700400000,191.6,191.62,191.02,191.14,4599.873,2025-01-01 03:00:00+00:00
1735701300000,191.14,191.25,190.58,190.61,7559.221,2025-01-01 03:15:00+00:00
1735702200000,190.61,190.72,190.35,190.55,4109.864,2025-01-01 03:30:00+00:00
1735703100000,190.55,190.55,190.05,190.4,2530.978,2025-01-01 03:45:00+00:00
1735704000000,190.4,190.41,189.67,190.1,5264.699,2025-01-01 04:00:00+00:00
1735704900000,190.1,190.24,189.73,189.87,7459.595,2025-01-01 04:15:00+00:00
1735705800000,189.87,189.87,189.34,189.77,7979.319,2025-01-01 04:30:00+00:00
1735706700000,189.77,189.86,189.4,189.5,5014.774,2025-01-01 04:45:00+00:00
1735707600000,189.5,190.38,189.35,190.1,2414.524,2025-01-01 05:00:00+00:00
1735708500000,190.1,190.61,189.97,190.43,10138.243,2025-01-01 05:15:00+00:00
1735709400000,190.43,190.64,190.0,190.4,3668.418,2025-01-01 05:30:00+00:00
1735710300000,190.4,190.52,190.05,190.16,1931.406,2025-01-01 05:45:00+00:00
1735711200000,190.16,190.3,189.61,189.65,1773.875,2025-01-01 06:00:00+00:00
1735712100000,189.65,190.1,189.61,189.95,2367.12,2025-01-01 06:15:00+00:00
1735713000000,189.95,190.19,189.4,190.19,3482.38,2025-01-01 06:30:00+00:00
1735713900000,190.19,190.34,189.72,190.32,2631.054,2025-01-01 06:45:00+00:00
1735714800000,190.32,190.39,189.82,189.92,2822.757,2025-01-01 07:00:00+00:00
1735715700000,189.92,190.19,189.76,189.92,2295.068,2025-01-01 07:15:00+00:00
1735716600000,189.92,190.23,189.72,190.23,6230.752,2025-01-01 07:30:00+00:00
1735717500000,190.23,190.27,190.03,190.09,2591.502,2025-01-01 07:45:00+00:00
1735718400000,190.09,190.77,190.02,190.6,5761.763,2025-01-01 08:00:00+00:00
1735719300000,190.6,190.6,189.4,189.85,4227.187,2025-01-01 08:15:00+00:00
1735720200000,189.85,190.09,189.58,189.94,3038.526,2025-01-01 08:30:00+00:00
1735721100000,189.94,189.97,189.29,189.4,4326.289,2025-01-01 08:45:00+00:00
1735722000000,189.4,189.77,188.77,188.95,9312.255,2025-01-01 09:00:00+00:00
1735722900000,188.95,188.95,188.21,188.49,10598.711,2025-01-01 09:15:00+00:00
1735723800000,188.49,188.96,187.98,188.48,7670.881,2025-01-01 09:30:00+00:00
1735724700000,188.48,189.22,188.15,189.18,6140.784,2025-01-01 09:45:00+00:00
1735725600000,189.18,189.79,189.18,189.73,6762.94,2025-01-01 10:00:00+00:00
1735726500000,189.73,190.53,189.6,190.22,6791.908,2025-01-01 10:15:00+00:00
1735727400000,190.22,190.82,190.13,190.69,7279.411,2025-01-01 10:30:00+00:00
1735728300000,190.69,191.02,190.07,190.26,6289.586,2025-01-01 10:45:00+00:00
1735729200000,190.26,190.75,189.93,190.53,5161.328,2025-01-01 11:00:00+00:00
1735730100000,190.53,191.24,190.53,191.22,7535.032,2025-01-01 11:15:00+00:00
1735731000000,191.22,191.8,190.94,191.67,11605.356,2025-01-01 11:30:00+00:00
1735731900000,191.67,191.88,191.14,191.35,4141.221,2025-01-01 11:45:00+00:00
1735732800000,191.35,191.73,190.75,190.86,5668.351,2025-01-01 12:00:00+00:00
1735733700000,190.86,191.75,190.86,191.5,12431.341,2025-01-01 12:15:00+00:00
1735734600000,191.5,191.79,191.22,191.27,7469.679,2025-01-01 12:30:00+00:00
1735735500000,191.27,191.27,190.53,190.95,6628.351,2025-01-01 12:45:00+00:00
1735736400000,190.95,191.35,189.92,190.27,12795.139,2025-01-01 13:00:00+00:00
1735737300000,190.27,190.51,189.55,189.67,5341.664,2025-01-01 13:15:00+00:00
1735738200000,189.67,190.22,189.66,190.01,3602.97,2025-01-01 13:30:00+00:00
1735739100000,190.01,190.39,189.98,190.25,4715.056,2025-01-01 13:45:00+00:00
1735740000000,190.25,191.48,190.17,190.94,5373.672,2025-01-01 14:00:00+00:00
1735740900000,190.94,191.09,189.91,189.96,3985.49,2025-01-01 14:15:00+00:00
1735741800000,189.96,190.34,189.16,190.15,6876.432,2025-01-01 14:30:00+00:00
1735742700000,190.15,190.99,189.9,190.89,5376.672,2025-01-01 14:45:00+00:00
1735743600000,190.89,191.19,189.97,190.19,4527.186,2025-01-01 15:00:00+00:00
1735744500000,190.19,190.71,189.97,190.52,3056.555,2025-01-01 15:15:00+00:00
1735745400000,190.52,191.53,190.32,191.51,3863.25,2025-01-01 15:30:00+00:00
1735746300000,191.51,192.17,191.45,191.91,7373.506,2025-01-01 15:45:00+00:00
1735747200000,191.91,192.27,191.06,191.16,5715.616,2025-01-01 16:00:00+00:00
1735748100000,191.16,191.34,190.62,191.09,4828.06,2025-01-01 16:15:00+00:00
1735749000000,191.09,191.36,190.53,190.53,4146.59,2025-01-01 16:30:00+00:00
1735749900000,190.53,190.95,190.08,190.51,4488.742,2025-01-01 16:45:00+00:00
1735750800000,190.51,190.68,189.58,189.71,9755.69,2025-01-01 17:00:00+00:00
1735751700000,189.71,189.9,189.24,189.83,4655.904,2025-01-01 17:15:00+00:00
1735752600000,189.83,190.32,189.68,190.08,3432.668,2025-01-01 17:30:00+00:00
1735753500000,190.08,190.66,189.49,190.62,3727.38,2025-01-01 17:45:00+00:00
1735754400000,190.62,190.74,189.89,190.33,2871.899,2025-01-01 18:00:00+00:00
1735755300000,190.33,190.9,190.18,190.78,2508.933,2025-01-01 18:15:00+00:00
1735756200000,190.78,192.09,190.63,191.89,8081.059,2025-01-01 18:30:00+00:00
1735757100000,191.89,192.24,191.4,191.69,9660.499,2025-01-01 18:45:00+00:00
1735758000000,191.69,192.72,191.5,192.44,6195.598,2025-01-01 19:00:00+00:00
1735758900000,192.44,192.66,191.99,192.36,3950.987,2025-01-01 19:15:00+00:00
1735759800000,192.36,192.67,191.54,192.59,8225.852,2025-01-01 19:30:00+00:00
1735760700000,192.59,193.9,192.31,193.09,23851.3,2025-01-01 19:45:00+00:00
1735761600000,193.09,194.09,193.09,193.72,12815.441,2025-01-01 20:00:00+00:00
1735762500000,193.72,194.0,193.22,193.74,7950.473,2025-01-01 20:15:00+00:00
1735763400000,193.74,194.31,193.54,194.18,6932.713,2025-01-01 20:30:00+00:00
1735764300000,194.18,194.57,194.08,194.32,7416.645,2025-01-01 20:45:00+00:00
1735765200000,194.32,194.64,193.71,194.12,6289.813,2025-01-01 21:00:00+00:00
1735766100000,194.12,195.32,194.1,195.08,9726.123,2025-01-01 21:15:00+00:00
1735767000000,195.08,195.17,193.99,194.31,18250.257,2025-01-01 21:30:00+00:00
1735767900000,194.31,194.69,194.04,194.67,3437.748,2025-01-01 21:45:00+00:00
1735768800000,194.67,194.94,193.67,193.95,8497.842,2025-01-01 22:00:00+00:00
1735769700000,193.95,194.48,193.9,194.1,3837.898,2025-01-01 22:15:00+00:00
1735770600000,194.1,194.91,194.1,194.79,3206.348,2025-01-01 22:30:00+00:00
1735771500000,194.79,194.91,194.37,194.54,4110.276,2025-01-01 22:45:00+00:00
1735772400000,194.54,195.17,194.22,194.59,12092.857,2025-01-01 23:00:00+00:00
1735773300000,194.59,194.59,193.97,194.24,5463.822,2025-01-01 23:15:00+00:00
1735774200000,194.24,194.33,193.88,194.24,3860.761,2025-01-01 23:30:00+00:00
1735775100000,194.24,194.46,193.81,194.3,6123.131,2025-01-01 23:45:00+00:00
1735776000000,194.3,194.75,193.63,194.03,7768.472,2025-01-02 00:00:00+00:00
1735776900000,194.03,196.02,193.43,195.18,22834.394,2025-01-02 00:15:00+00:00
1735777800000,195.18,196.76,194.64,196.29,24303.502,2025-01-02 00:30:00+00:00
1735778700000,196.29,197.17,195.76,196.26,12411.395,2025-01-02 00:45:00+00:00
1735779600000,196.26,198.45,196.23,197.88,19251.127,2025-01-02 01:00:00+00:00
1735780500000,197.88,198.31,197.03,197.04,9726.173,2025-01-02 01:15:00+00:00
1735781400000,197.04,197.66,196.13,197.55,8248.054,2025-01-02 01:30:00+00:00
1735782300000,197.55,197.79,197.0,197.7,8980.542,2025-01-02 01:45:00+00:00
1735783200000,197.7,198.44,197.48,198.09,9116.314,2025-01-02 02:00:00+00:00
1735784100000,198.09,198.95,197.46,198.69,22622.377,2025-01-02 02:15:00+00:00
1735785000000,198.69,199.0,197.96,198.72,15356.879,2025-01-02 02:30:00+00:00
1735785900000,198.72,199.45,198.63,199.41,8037.152,2025-01-02 02:45:00+00:00
1735786800000,199.41,199.7,198.33,198.4,9968.113,2025-01-02 03:00:00+00:00
1735787700000,198.4,198.8,198.07,198.65,6191.824,2025-01-02 03:15:00+00:00
1735788600000,198.65,198.76,197.83,197.91,10219.03,2025-01-02 03:30:00+00:00
1735789500000,197.91,198.97,197.91,198.55,9080.104,2025-01-02 03:45:00+00:00
1735790400000,198.55,199.98,198.55,199.9,15389.57,2025-01-02 04:00:00+00:00
1735791300000,199.9,200.16,199.35,200.14,7942.32,2025-01-02 04:15:00+00:00
1735792200000,200.14,204.8,200.14,204.24,63956.569,2025-01-02 04:30:00+00:00
1735793100000,204.24,204.87,203.74,204.45,25152.471,2025-01-02 04:45:00+00:00
1735794000000,204.45,204.63,203.37,203.72,20540.089,2025-01-02 05:00:00+00:00
1735794900000,203.72,205.53,203.42,205.01,17454.01,2025-01-02 05:15:00+00:00
1735795800000,205.01,205.37,204.62,205.0,6002.987,2025-01-02 05:30:00+00:00
1735796700000,205.0,205.16,204.41,204.62,8311.92,2025-01-02 05:45:00+00:00
1735797600000,204.62,205.17,203.99,204.69,19704.897,2025-01-02 06:00:00+00:00
1735798500000,204.69,204.98,203.97,204.54,13763.773,2025-01-02 06:15:00+00:00
1735799400000,204.54,205.65,204.29,205.27,15165.526,2025-01-02 06:30:00+00:00
1735800300000,205.27,205.98,205.09,205.35,11108.281,2025-01-02 06:45:00+00:00
1735801200000,205.35,206.03,205.18,205.95,11645.778,2025-01-02 07:00:00+00:00
1735802100000,205.95,206.94,205.56,206.6,26865.597,2025-01-02 07:15:00+00:00
1735803000000,206.6,206.83,206.18,206.2,14756.884,2025-01-02 07:30:00+00:00
1735803900000,206.2,206.28,205.62,205.93,8027.254,2025-01-02 07:45:00+00:00
1735804800000,205.93,206.65,205.92,206.47,19413.63,2025-01-02 08:00:00+00:00
1735805700000,206.47,206.74,205.65,206.02,24710.833,2025-01-02 08:15:00+00:00
