ts,open,high,low,close,volume,time
1735689600000,189.32,192.65,189.09,190.4,122254.05,2025-01-01 00:00:00+00:00
1735704000000,190.4,190.64,189.34,190.09,68065.486,2025-01-01 04:00:00+00:00
1735718400000,190.09,191.88,187.98,191.35,106643.178,2025-01-01 08:00:00+00:00
1735732800000,191.35,192.17,189.16,191.91,99085.314,2025-01-01 12:00:00+00:00
1735747200000,191.91,193.9,189.24,193.09,106096.777,2025-01-01 16:00:00+00:00
1735761600000,193.09,195.32,193.09,194.3,120012.148,2025-01-01 20:00:00+00:00
1735776000000,194.3,199.7,193.43,198.55,204115.452,2025-01-02 00:00:00+00:00
1735790400000,198.55,206.94,198.55,205.93,285787.926,2025-01-02 04:00:00+00:00
1735804800000,205.93,208.92,205.65,208.55,287765.485,2025-01-02 08:00:00+00:00
1735819200000,208.55,210.53,205.52,206.79,263610.828,2025-01-02 12:00:00+00:00
1735833600000,206.79,209.08,204.71,206.72,192860.114,2025-01-02 16:00:00+00:00
1735848000000,206.72,208.49,205.22,208.37,138332.302,2025-01-02 20:00:00+00:00
1735862400000,208.37,208.55,205.66,208.05,96864.298,2025-01-03 00:00:00+00:00
1735876800000,208.05,209.95,207.07,207.98,148105.533,2025-01-03 04:00:00+00:00
1735891200000,207.98,215.07,207.63,214.45,268934.024,2025-01-03 08:00:00+00:00
1735905600000,214.45,218.62,212.05,217.31,298771.651,2025-01-03 12:00:00+00:00
1735920000000,217.31,219.79,216.28,217.09,255216.945,2025-01-03 16:00:00+00:00
1735934400000,217.09,218.03,215.75,218.01,93721.791,2025-01-03 20:00:00+00:00
1735948800000,218.01,218.11,215.72,216.93,149927.082,2025-01-04 00:00:00+00:00
1735963200000,216.93,217.96,215.63,216.74,92500.731,2025-01-04 04:00:00+00:00
1735977600000,216.74,216.74,214.36,216.43,161101.449,2025-01-04 08:00:00+00:00
1735992000000,216.43,217.62,213.52,214.34,164872.173,2025-01-04 12:00:00+00:00
1736006400000,214.34,215.98,213.61,215.58,96023.235,2025-01-04 16:00:00+00:00
1736020800000,215.58,217.28,215.41,216.64,75376.787,2025-01-04 20:00:00+00:00
1736035200000,216.64,218.92,215.24,217.94,117173.31,2025-01-05 00:00:00+00:00
1736049600000,217.94,219.0,215.96,216.5,92453.058,2025-01-05 04:00:00+00:00
1736064000000,216.5,216.61,212.86,213.95,101889.292,2025-01-05 08:00:00+00:00
1736078400000,213.95,214.62,211.62,213.59,121063.5,2025-01-05 12:00:00+00:00
1736092800000,213.59,214.41,211.47,212.76,83743.107,2025-01-05 16:00:00+00:00
1736107200000,212.76,214.57,212.54,213.43,55166.484,2025-01-05 20:00:00+00:00
1736121600000,213.43,217.05,211.55,215.63,115128.503,2025-01-06 00:00:00+00:00
1736136000000,215.63,216.93,213.92,215.22,116818.473,2025-01-06 04:00:00+00:00
1736150400000,215.22,216.29,213.25,216.29,85518.298,2025-01-06 08:00:00+00:00
1736164800000,216.29,222.17,215.77,221.66,336277.151,2025-01-06 12:00:00+00:00
1736179200000,221.66,223.22,217.39,220.05,201418.834,2025-01-06 16:00:00+00:00
1736193600000,220.05,220.44,217.56,218.24,97706.359,2025-01-06 20:00:00+00:00
1736208000000,218.24,219.15,216.25,217.38,102082.5,2025-01-07 00:00:00+00:00
1736222400000,217.38,217.52,215.51,216.08,91135.963,2025-01-07 04:00:00+00:00
1736236800000,216.08,216.86,212.9,214.07,161536.543,2025-01-07 08:00:00+00:00
1736251200000,214.07,214.39,205.39,207.75,669366.631,2025-01-07 12:00:00+00:00
1736265600000,207.75,209.14,203.48,204.55,384183.908,2025-01-07 16:00:00+00:00
1736280000000,204.55,205.0,201.76,202.16,264290.849,2025-01-07 20:00:00+00:00
1736294400000,202.16,203.3,196.66,198.66,465332.196,2025-01-08 00:00:00+00:00
1736308800000,198.66,199.59,193.15,195.7,341705.941,2025-01-08 04:00:00+00:00
1736323200000,195.7,198.0,194.44,195.5,199760.186,2025-01-08 08:00:00+00:00
1736337600000,195.5,199.57,194.85,197.78,241532.849,2025-01-08 12:00:00+00:00
1736352000000,197.78,197.97,188.29,194.29,397143.506,2025-01-08 16:00:00+00:00
1736366400000,194.29,198.31,193.64,197.47,187085.741,2025-01-08 20:00:00+00:00
1736380800000,197.47,199.06,194.12,194.3,195519.303,2025-01-09 00:00:00+00:00
1736395200000,194.3,195.54,189.73,190.09,194404.896,2025-01-09 04:00:00+00:00
1736409600000,190.09,192.86,189.08,191.2,125565.305,2025-01-09 08:00:00+00:00
1736424000000,191.2,193.06,185.07,192.22,271540.76,2025-01-09 12:00:00+00:00
1736438400000,192.22,192.84,185.72,185.88,229294.576,2025-01-09 16:00:00+00:00
1736452800000,185.88,187.62,181.95,184.97,308319.248,2025-01-09 20:00:00+00:00
1736467200000,184.97,189.49,184.96,189.16,127307.121,2025-01-10 00:00:00+00:00
1736481600000,189.16,193.03,188.38,191.77,131929.545,2025-01-10 04:00:00+00:00
1736496000000,191.77,192.9,191.15,192.0,106400.395,2025-01-10 08:00:00+00:00
1736510400000,192.0,192.21,183.47,187.28,391333.919,2025-01-10 12:00:00+00:00
1736524800000,187.28,192.12,183.86,190.22,255516.723,2025-01-10 16:00:00+00:00
1736539200000,190.22,190.54,186.68,187.71,114693.896,2025-01-10 20:00:00+00:00
1736553600000,187.71,188.83,185.58,186.42,87312.791,2025-01-11 00:00:00+00:00
1736568000000,186.42,187.19,185.15,186.23,82022.915,2025-01-11 04:00:00+00:00
1736582400000,186.23,186.9,184.1,186.67,121019.426,2025-01-11 08:00:00+00:00
1736596800000,186.67,188.29,185.9,186.96,85218.742,2025-01-11 12:00:00+00:00
1736611200000,186.96,188.03,185.67,187.76,71280.181,2025-01-11 16:00:00+00:00
1736625600000,187.76,191.97,187.49,188.09,125567.482,2025-01-11 20:00:00+00:00
1736640000000,188.09,188.62,186.53,187.32,69759.841,2025-01-12 00:00:00+00:00
1736654400000,187.32,187.42,185.59,186.61,43600.861,2025-01-12 04:00:00+00:00
1736668800000,186.61,187.02,185.17,186.68,57950.351,2025-01-12 08:00:00+00:00
1736683200000,186.68,191.04,186.19,190.49,104651.994,2025-01-12 12:00:00+00:00
1736697600000,190.49,190.78,188.65,188.93,81161.266,2025-01-12 16:00:00+00:00
1736712000000,188.93,190.02,186.59,188.52,90012.021,2025-01-12 20:00:00+00:00
1736726400000,188.52,191.98,184.22,185.04,182749.488,2025-01-13 00:00:00+00:00
1736740800000,185.04,186.97,181.51,182.45,183049.758,2025-01-13 04:00:00+00:00
1736755200000,182.45,182.54,175.25,175.42,304570.087,2025-01-13 08:00:00+00:00
1736769600000,175.42,180.34,168.47,178.79,673383.326,2025-01-13 12:00:00+00:00
1736784000000,178.79,179.84,174.47,177.64,191401.993,2025-01-13 16:00:00+00:00
1736798400000,177.64,183.83,176.62,182.86,186997.902,2025-01-13 20:00:00+00:00
1736812800000,182.86,184.63,181.88,184.19,113252.058,2025-01-14 00:00:00+00:00
1736827200000,184.19,186.96,184.19,185.63,100262.208,2025-01-14 04:00:00+00:00
1736841600000,185.63,190.12,185.62,187.09,169436.829,2025-01-14 08:00:00+00:00
1736856000000,187.09,190.16,185.62,186.86,176246.396,2025-01-14 12:00:00+00:00
1736870400000,186.86,187.92,185.76,187.11,122999.563,2025-01-14 16:00:00+00:00
1736884800000,187.11,188.84,185.85,187.57,61588.435,2025-01-14 20:00:00+00:00
1736899200000,187.57,189.73,186.95,189.72,63946.228,2025-01-15 00:00:00+00:00
1736913600000,189.72,190.76,188.28,190.0,58073.429,2025-01-15 04:00:00+00:00
1736928000000,190.0,190.7,185.88,186.99,87679.454,2025-01-15 08:00:00+00:00
1736942400000,186.99,198.06,185.99,196.54,368745.866,2025-01-15 12:00:00+00:00
1736956800000,196.54,202.38,196.43,201.91,205266.617,2025-01-15 16:00:00+00:00
1736971200000,201.91,206.06,201.91,205.89,183287.245,2025-01-15 20:00:00+00:00
1736985600000,205.89,206.32,201.38,201.99,134930.634,2025-01-16 00:00:00+00:00
1737000000000,201.99,203.51,201.51,203.14,90881.237,2025-01-16 04:00:00+00:00
1737014400000,203.14,212.76,198.49,212.73,322056.235,2025-01-16 08:00:00+00:00
