ts,open,high,low,close,volume,time
1735689600000,189.32,192.65,189.09,190.7,80408.644,2025-01-01 00:00:00+00:00
1735696800000,190.7,192.06,190.05,190.4,41845.406,2025-01-01 02:00:00+00:00
1735704000000,190.4,190.64,189.34,190.16,43870.978,2025-01-01 04:00:00+00:00
1735711200000,190.16,190.39,189.4,190.09,24194.508,2025-01-01 06:00:00+00:00
1735718400000,190.09,190.77,187.98,189.18,51076.396,2025-01-01 08:00:00+00:00
1735725600000,189.18,191.88,189.18,191.35,55566.782,2025-01-01 10:00:00+00:00
1735732800000,191.35,191.79,189.55,190.25,58652.551,2025-01-01 12:00:00+00:00
1735740000000,190.25,192.17,189.16,191.91,40432.763,2025-01-01 14:00:00+00:00
1735747200000,191.91,192.27,189.24,190.62,40750.65,2025-01-01 16:00:00+00:00
1735754400000,190.62,193.9,189.89,193.09,65346.127,2025-01-01 18:00:00+00:00
1735761600000,193.09,195.32,193.09,194.67,72819.213,2025-01-01 20:00:00+00:00
1735768800000,194.67,195.17,193.67,194.3,47192.935,2025-01-01 22:00:00+00:00
1735776000000,194.3,198.45,193.43,197.7,113523.659,2025-01-02 00:00:00+00:00
1735783200000,197.7,199.7,197.46,198.55,90591.793,2025-01-02 02:00:00+00:00
1735790400000,198.55,205.53,198.55,204.62,164749.936,2025-01-02 04:00:00+00:00
1735797600000,204.62,206.94,203.97,205.93,121037.99,2025-01-02 06:00:00+00:00
1735804800000,205.93,208.02,205.65,207.38,192399.207,2025-01-02 08:00:00+00:00
1735812000000,207.38,208.92,206.71,208.55,95366.278,2025-01-02 10:00:00+00:00
1735819200000,208.55,209.53,207.56,208.17,85952.056,2025-01-02 12:00:00+00:00
1735826400000,208.17,210.53,205.52,206.79,177658.772,2025-01-02 14:00:00+00:00
1735833600000,206.79,209.08,204.71,206.05,118523.987,2025-01-02 16:00:00+00:00
1735840800000,206.05,207.89,204.95,206.72,74336.127,2025-01-02 18:00:00+00:00
1735848000000,206.72,208.03,205.46,206.54,61155.497,2025-01-02 20:00:00+00:00
1735855200000,206.54,208.49,205.22,208.37,77176.805,2025-01-02 22:00:00+00:00
1735862400000,208.37,208.55,205.66,206.86,50389.733,2025-01-03 00:00:00+00:00
1735869600000,206.86,208.35,206.17,208.05,46474.565,2025-01-03 02:00:00+00:00
1735876800000,208.05,209.58,207.07,208.88,53984.267,2025-01-03 04:00:00+00:00
1735884000000,208.88,209.95,207.09,207.98,94121.266,2025-01-03 06:00:00+00:00
1735891200000,207.98,212.86,207.63,211.25,147863.074,2025-01-03 08:00:00+00:00
1735898400000,211.25,215.07,210.38,214.45,121070.95,2025-01-03 10:00:00+00:00
1735905600000,214.45,214.89,212.05,212.85,122044.693,2025-01-03 12:00:00+00:00
1735912800000,212.85,218.62,212.85,217.31,176726.958,2025-01-03 14:00:00+00:00
1735920000000,217.31,219.79,216.37,217.37,168486.874,2025-01-03 16:00:00+00:00
1735927200000,217.37,218.56,216.28,217.09,86730.071,2025-01-03 18:00:00+00:00
1735934400000,217.09,217.09,215.75,216.37,53428.252,2025-01-03 20:00:00+00:00
1735941600000,216.37,218.03,216.09,218.01,40293.539,2025-01-03 22:00:00+00:00
1735948800000,218.01,218.05,216.02,217.37,57416.069,2025-01-04 00:00:00+00:00
1735956000000,217.37,218.11,215.72,216.93,92511.013,2025-01-04 02:00:00+00:00
1735963200000,216.93,217.38,215.63,217.25,46136.082,2025-01-04 04:00:00+00:00
1735970400000,217.25,217.96,216.34,216.74,46364.649,2025-01-04 06:00:00+00:00
1735977600000,216.74,216.74,215.32,215.79,100051.992,2025-01-04 08:00:00+00:00
1735984800000,215.79,216.67,214.36,216.43,61049.457,2025-01-04 10:00:00+00:00
1735992000000,216.43,217.62,216.07,217.04,82600.396,2025-01-04 12:00:00+00:00
1735999200000,217.04,217.17,213.52,214.34,82271.777,2025-01-04 14:00:00+00:00
1736006400000,214.34,215.75,213.61,215.73,70589.347,2025-01-04 16:00:00+00:00
1736013600000,215.73,215.98,215.12,215.58,25433.888,2025-01-04 18:00:00+00:00
1736020800000,215.58,216.78,215.41,216.06,36862.237,2025-01-04 20:00:00+00:00
1736028000000,216.06,217.28,215.7,216.64,38514.55,2025-01-04 22:00:00+00:00
1736035200000,216.64,217.88,215.24,215.71,46435.9,2025-01-05 00:00:00+00:00
1736042400000,215.71,218.92,215.45,217.94,70737.41,2025-01-05 02:00:00+00:00
1736049600000,217.94,219.0,216.18,216.44,57607.849,2025-01-05 04:00:00+00:00
1736056800000,216.44,217.04,215.96,216.5,34845.209,2025-01-05 06:00:00+00:00
1736064000000,216.5,216.61,212.86,213.19,68711.17,2025-01-05 08:00:00+00:00
1736071200000,213.19,214.69,212.95,213.95,33178.122,2025-01-05 10:00:00+00:00
1736078400000,213.95,214.62,212.38,212.62,42830.912,2025-01-05 12:00:00+00:00
1736085600000,212.62,213.98,211.62,213.59,78232.588,2025-01-05 14:00:00+00:00
1736092800000,213.59,214.41,212.0,212.66,49444.747,2025-01-05 16:00:00+00:00
1736100000000,212.66,213.23,211.47,212.76,34298.36,2025-01-05 18:00:00+00:00
1736107200000,212.76,214.01,212.54,213.88,26317.49,2025-01-05 20:00:00+00:00
1736114400000,213.88,214.57,213.26,213.43,28848.994,2025-01-05 22:00:00+00:00
1736121600000,213.43,215.2,211.55,214.67,47850.618,2025-01-06 00:00:00+00:00
1736128800000,214.67,217.05,214.47,215.63,67277.885,2025-01-06 02:00:00+00:00
1736136000000,215.63,216.93,215.16,215.57,66054.812,2025-01-06 04:00:00+00:00
1736143200000,215.57,216.04,213.92,215.22,50763.661,2025-01-06 06:00:00+00:00
1736150400000,215.22,216.25,213.25,214.41,46605.352,2025-01-06 08:00:00+00:00
1736157600000,214.41,216.29,213.84,216.29,38912.946,2025-01-06 10:00:00+00:00
1736164800000,216.29,218.85,215.77,218.73,121161.726,2025-01-06 12:00:00+00:00
1736172000000,218.73,222.17,216.74,221.66,215115.425,2025-01-06 14:00:00+00:00
1736179200000,221.66,223.22,217.39,218.76,138784.889,2025-01-06 16:00:00+00:00
1736186400000,218.76,220.52,217.89,220.05,62633.945,2025-01-06 18:00:00+00:00
1736193600000,220.05,220.44,217.56,217.9,54552.784,2025-01-06 20:00:00+00:00
1736200800000,217.9,218.82,217.67,218.24,43153.575,2025-01-06 22:00:00+00:00
1736208000000,218.24,219.15,216.81,218.15,42116.004,2025-01-07 00:00:00+00:00
1736215200000,218.15,218.29,216.25,217.38,59966.496,2025-01-07 02:00:00+00:00
1736222400000,217.38,217.52,215.72,216.5,54736.243,2025-01-07 04:00:00+00:00
1736229600000,216.5,216.81,215.51,216.08,36399.72,2025-01-07 06:00:00+00:00
1736236800000,216.08,216.86,214.81,215.11,93881.401,2025-01-07 08:00:00+00:00
1736244000000,215.11,215.49,212.9,214.07,67655.142,2025-01-07 10:00:00+00:00
1736251200000,214.07,214.34,212.72,213.85,86981.304,2025-01-07 12:00:00+00:00
1736258400000,213.85,214.39,205.39,207.75,582385.327,2025-01-07 14:00:00+00:00
1736265600000,207.75,209.14,205.42,206.45,167187.137,2025-01-07 16:00:00+00:00
1736272800000,206.45,207.14,203.48,204.55,216996.771,2025-01-07 18:00:00+00:00
1736280000000,204.55,205.0,202.09,202.09,159888.338,2025-01-07 20:00:00+00:00
1736287200000,202.09,203.95,201.76,202.16,104402.511,2025-01-07 22:00:00+00:00
1736294400000,202.16,203.3,199.63,201.3,199662.885,2025-01-08 00:00:00+00:00
