ts,open,high,low,close,volume,time
1735689600000,3337.43,3353.65,3335.43,3349.61,1892.04203,2025-01-01 00:00:00+00:00
1735691400000,3349.61,3365.61,3349.01,3363.88,3377.64836,2025-01-01 00:30:00+00:00
1735693200000,3363.88,3366.07,3351.32,3352.92,1553.50419,2025-01-01 01:00:00+00:00
1735695000000,3352.92,3358.68,3342.15,3346.52,1219.07635,2025-01-01 01:30:00+00:00
1735696800000,3346.52,3354.94,3345.71,3350.45,1014.44692,2025-01-01 02:00:00+00:00
1735698600000,3350.45,3368.53,3350.02,3362.69,2123.80211,2025-01-01 02:30:00+00:00
1735700400000,3362.69,3363.93,3351.79,3354.51,1222.96913,2025-01-01 03:00:00+00:00
1735702200000,3354.51,3357.25,3350.93,3354.9,830.842,2025-01-01 03:30:00+00:00
1735704000000,3354.9,3356.72,3345.82,3348.47,1338.21505,2025-01-01 04:00:00+00:00
1735705800000,3348.47,3350.58,3339.6,3341.26,1047.25102,2025-01-01 04:30:00+00:00
1735707600000,3341.26,3351.46,3340.1,3350.13,958.67506,2025-01-01 05:00:00+00:00
1735709400000,3350.13,3351.79,3344.33,3345.34,958.45695,2025-01-01 05:30:00+00:00
1735711200000,3345.34,3348.76,3339.22,3344.18,1331.04173,2025-01-01 06:00:00+00:00
1735713000000,3344.18,3346.92,3336.69,3346.7,1193.58392,2025-01-01 06:30:00+00:00
1735714800000,3346.7,3346.71,3339.42,3341.94,1438.34809,2025-01-01 07:00:00+00:00
1735716600000,3341.94,3349.69,3341.16,3347.02,823.70998,2025-01-01 07:30:00+00:00
1735718400000,3347.02,3349.27,3331.82,3337.61,2269.68058,2025-01-01 08:00:00+00:00
1735720200000,3337.61,3342.85,3333.25,3336.71,1681.08707,2025-01-01 08:30:00+00:00
1735722000000,3336.71,3340.83,3312.72,3322.53,4816.77249,2025-01-01 09:00:00+00:00
1735723800000,3322.53,3335.37,3319.59,3334.73,1594.97856,2025-01-01 09:30:00+00:00
1735725600000,3334.73,3339.21,3329.41,3333.06,1351.31024,2025-01-01 10:00:00+00:00
1735727400000,3333.06,3338.46,3325.78,3327.18,1075.92009,2025-01-01 10:30:00+00:00
1735729200000,3327.18,3335.65,3323.32,3335.65,1266.01355,2025-01-01 11:00:00+00:00
1735731000000,3335.65,3348.67,3334.21,3340.81,1798.47613,2025-01-01 11:30:00+00:00
1735732800000,3340.81,3352.05,3338.25,3350.88,2642.81198,2025-01-01 12:00:00+00:00
1735734600000,3350.88,3352.76,3344.52,3347.33,1637.407,2025-01-01 12:30:00+00:00
1735736400000,3347.33,3354.09,3332.26,3336.24,3307.50197,2025-01-01 13:00:00+00:00
1735738200000,3336.24,3344.15,3334.56,3344.15,1911.21913,2025-01-01 13:30:00+00:00
1735740000000,3344.15,3360.0,3337.0,3337.46,2957.95486,2025-01-01 14:00:00+00:00
1735741800000,3337.46,3349.88,3328.31,3346.04,2644.55479,2025-01-01 14:30:00+00:00
1735743600000,3346.04,3350.84,3332.71,3338.71,2885.22287,2025-01-01 15:00:00+00:00
1735745400000,3338.71,3355.1,3337.22,3352.99,2601.82378,2025-01-01 15:30:00+00:00
1735747200000,3352.99,3357.29,3343.26,3345.21,2663.79757,2025-01-01 16:00:00+00:00
1735749000000,3345.21,3346.34,3332.33,3338.41,2268.8087,2025-01-01 16:30:00+00:00
1735750800000,3338.41,3340.4,3322.85,3334.02,2746.18579,2025-01-01 17:00:00+00:00
1735752600000,3334.02,3344.99,3331.99,3343.88,2410.2538,2025-01-01 17:30:00+00:00
1735754400000,3343.88,3345.31,3333.16,3338.74,2073.56484,2025-01-01 18:00:00+00:00
1735756200000,3338.74,3352.34,3338.43,3348.63,3243.88284,2025-01-01 18:30:00+00:00
1735758000000,3348.63,3355.0,3342.95,3345.03,3275.63111,2025-01-01 19:00:00+00:00
1735759800000,3345.03,3364.66,3337.6,3357.0,5300.99196,2025-01-01 19:30:00+00:00
1735761600000,3357.0,3362.39,3351.91,3354.54,2117.61786,2025-01-01 20:00:00+00:00
1735763400000,3354.54,3362.6,3351.84,3360.26,2704.76449,2025-01-01 20:30:00+00:00
1735765200000,3360.26,3371.57,3353.23,3367.74,3125.1026,2025-01-01 21:00:00+00:00
1735767000000,3367.74,3369.42,3359.71,3368.58,2203.36611,2025-01-01 21:30:00+00:00
1735768800000,3368.58,3375.39,3358.82,3368.89,2723.60609,2025-01-01 22:00:00+00:00
1735770600000,3368.89,3370.16,3360.31,3361.72,1875.01289,2025-01-01 22:30:00+00:00
1735772400000,3361.72,3367.41,3354.19,3356.45,3023.95661,2025-01-01 23:00:00+00:00
1735774200000,3356.45,3362.34,3352.71,3360.54,1816.88235,2025-01-01 23:30:00+00:00
1735776000000,3360.54,3395.67,3354.64,3385.4,5467.84153,2025-01-02 00:00:00+00:00
1735777800000,3385.4,3401.1,3375.83,3390.54,5457.2927,2025-01-02 00:30:00+00:00
1735779600000,3390.54,3406.03,3390.53,3393.0,4552.53592,2025-01-02 01:00:00+00:00
1735781400000,3393.0,3393.15,3378.07,3384.07,3492.14915,2025-01-02 01:30:00+00:00
